,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.032096462786704645,0.03800376995756501,0.04759512262668157,0.03143225166237877,0.04572700115972613,0.05766415635654941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.03806035649581008,0.037116920456846884,0.04532118215722556,0.05192600834972786,0.05867178026759398,0.04870187633399147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.03175461976309671,0.03314573817247184,0.04053417423957158,0.042171634206567644,0.04320241813863908,0.041365868172691014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.025973061386358808,0.02728575756701133,0.031898317085452675,0.03260985823464885,0.03749619419627532,0.03720362549869403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.023929344699728163,0.02353773795028393,0.029057971460451876,0.02874969844908742,0.03502424443009405,0.03543490124439422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.02424244726572842,0.02032166607539919,0.028094713616171656,0.024318889313233387,0.03658113915951744,0.026077952875658186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.025441813339196814,0.019111707712838637,0.03142570042556036,0.02247259599891306,0.04645739303611356,0.028089273010242995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.026451355533523156,0.01814824861315821,0.03339524169350649,0.025380107326584044,0.04803143491044435,0.03009539964968419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.19253543399573525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
