,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.045854406500740415,0.048643073210025436,0.0585834277962153,0.05984232160789667,0.07454002462605058,0.09361685766737117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.042846839929229795,0.04618401774827037,0.05872069629344549,0.056650721175624044,0.08043029042093273,0.06879332487894185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.03939033843793451,0.04069235020417963,0.052126397147643985,0.052119810492364416,0.08262925046789764,0.07785926503524272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.03471790597776594,0.035754190839783165,0.045351176005148264,0.045198072952440875,0.06191819025460299,0.0633910497588646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.03030792411406373,0.030099681877625458,0.037434895135922,0.03787834324424633,0.05330920090638516,0.05628272954842832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.029483200503232783,0.031155924018648473,0.03832771815755984,0.04103816996082276,0.06077704150383822,0.06142044350220011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.031364427916813264,0.03441373549043969,0.036043415842851645,0.04594210813334753,0.06872464917189845,0.07225316620356748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.02546702789000385,0.031061785486790536,0.017134054002590014,0.04078379905584936,-0.0020680133522379303,0.0364684510982698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
