,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.03959295215557978,0.03866563114014355,0.10768549292810065,0.12018465943170586,0.2632055115470276,0.23622674856434384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.04858159627992589,0.04598175316366589,0.12378818040422655,0.1296553706795945,0.2556961410800582,0.24200724837242377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.06190220256848459,0.06001261828122324,0.13045350893863084,0.13277891692485358,0.25982902500910604,0.2409701580942556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.072667280736383,0.0693746402424868,0.13719889031883709,0.1336764965747283,0.2677969247583473,0.26716267992230136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.0875706561339024,0.07735336656803976,0.14586472681271262,0.1309428367636049,0.2689707726814352,0.2611555176089653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.10495733054203886,0.09520387860244123,0.15463373718221832,0.1358168522553185,0.2764508468071175,0.24001894986971062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.12291152650385911,0.1164602885359678,0.15545103155497536,0.14737795847204505,0.22603941394304844,0.21737374018877273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.14410492451736914,0.1389659819701024,0.17034814673883059,0.17252545734355465,0.09357501736858906,0.20372784103124392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
