,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.03439401297421599,0.036581477113674994,0.08974266938106612,0.10792243516329925,0.2216774913970873,0.22691807599633973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.040490642727235675,0.040314009723679455,0.10519785039035386,0.11008729290641298,0.24145711798882227,0.16865314271299633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.059186451340790126,0.05420886625944913,0.11992457440940223,0.1220904861543732,0.24369549574799007,0.23273854443213282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.06958731072851825,0.06417830144430468,0.1259863366883118,0.1238058036420088,0.266408443249636,0.23600447758703177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.08114969750473394,0.07576017694972265,0.1371637373257712,0.12971310112911175,0.2493084940133496,0.23090435141239216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.09770885269119213,0.09154107395378251,0.15380022980180585,0.13929593534821072,0.2507144495362321,0.23671231474326165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.10504892356044387,0.11442155989425892,0.16431980707996588,0.14555642309868122,0.25477092824011643,0.2667432979932201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.08496367639147008,0.12870125434959714,0.15818358574253621,0.1756258180456428,0.02760254535323826,0.2553921499254276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
