,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.07976512332894145,0.08151424297813703,0.258762118046456,0.2640540504718806,0.35071662050911834,0.40675296923353405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.09217154354466543,0.09192367080873376,0.26360035038230406,0.2731749186701797,0.38106415841653785,0.4020201787967716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.11029579809211855,0.10690823722836712,0.267826610339433,0.2710803435483733,0.38603805077039,0.366914729134609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.12434852348948484,0.11792806788053173,0.26792750168845864,0.2627666311446671,0.37610898674152937,0.3789207808862352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.13951668705984946,0.1319585280837225,0.27376894315727757,0.26563245039148664,0.37365503415791274,0.36199957084431794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.16328760613347992,0.15641432401779087,0.2904879402881413,0.27703171718605857,0.3993458586679479,0.3546997803666283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.17893747310241456,0.1755028646815264,0.27114817480969977,0.28348550267037337,0.35714261163590943,0.3907292498282046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.200064127535182,0.19452340334060853,0.3007515994892782,0.26872290223682194,0.24376310220172107,0.34709209199392393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
