,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.04614910162429885,0.04881288080305412,0.05698872327634044,0.05948249147746656,0.055489668232315985,0.07456029102612284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.04242568854404319,0.04494561296122169,0.056886280293441796,0.05614106056427818,0.05476362697302551,0.058244431678157196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.03999613833173901,0.04053382765630128,0.04996979319426832,0.050123577286142036,0.06374057723376528,0.06195278233718328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.03449645351504087,0.035651022574593336,0.04161870306843186,0.04473500922809103,0.05628603841212981,0.05654985777820416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.03064663839899625,0.030757388094781797,0.03720046059573644,0.0387943747716979,0.04228682553479585,0.04448974571292068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.029638996371728486,0.031194835431749755,0.038406930804598026,0.04035363244196369,0.049603361574074425,0.0551082678777721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.030056906681786455,0.03322169388037861,0.036758810289353835,0.04684117308887772,0.07875116084552486,0.08094480557366562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.02060818874717395,0.02923000079550002,0.006144899419322074,0.04383917507419031,0.008579415225564822,0.024783455100554002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
