,jetp bins,at0bcen,at0bfwd,at1bcen,at1bfwd,at2bcen,at2bfwd,pret0bcen,pret0bfwd,pret1bcen,pret1bfwd,pret2bcen,pret2bfwd,2t0bcen,2t0bfwd,2t1bcen,2t1bfwd,2t2bcen,2t2bfwd
0,400.0,0.03354364268327295,0.03324074836795877,0.033735292833407926,0.03268303397924789,0.06730630627190161,0.12618857561943458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,500.0,0.03817762163001,0.036155805932588596,0.04156230323011852,0.042979955756797625,0.05641834990126077,0.03842552308727333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,600.0,0.032933527992683516,0.034984117820020075,0.040340796605945264,0.03879951114687332,0.0422263611887539,0.04471645438203139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,800.0,0.027775734548913748,0.02868918226553208,0.02906841760216766,0.03198702576501159,0.03587873993466418,0.029630549019684222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1000.0,0.02544505705408285,0.024726081020037694,0.025294332404199232,0.025240506025553555,0.0293065628810604,0.024250689107015694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1500.0,0.025637691874965195,0.022296035049793807,0.026140271764774393,0.02177879913511269,0.02423629346293517,0.017958428938016937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000.0,0.027649287256197447,0.020772550049608127,0.026765733615368395,0.02039004633709437,0.02804899502216851,0.021069305329710564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3000.0,0.02913588431907496,0.020530551718402144,0.026371961216649236,0.020952991849897375,0.0050709483468802195,0.01760906001692786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
